date,close,open,high,low
2016/10/12,6490.43,6533.44,6533.44,6453.8
2016/10/11,6576.19,6624.36,6676.25,6550.31
2016/10/10,6623.87,6623.87,6623.87,6623.87
2016/10/7,6609.93,6632.37,6634.04,6592.77
2016/10/6,6635.69,6593.59,6641.45,6593.59
2016/10/5,6581.03,6556.47,6587.82,6527.7
2016/10/4,6546.81,6520.06,6546.94,6504.66
2016/10/3,6515.46,6451.43,6544.43,6451.43
2016/9/30,6449.64,6559.81,6559.81,6449.63
2016/9/29,6592.82,6559.6,6611.43,6559.6
2016/9/28,6561.76,6558.47,6562.18,6523.85
2016/9/27,6536.52,6482.28,6554.5,6478.42
2016/9/26,6512.37,6610.29,6610.29,6499.1
2016/9/23,6628.75,6644.6,6661.63,6614.24
2016/9/22,6613.14,6581.65,6674.53,6581.65
2016/9/21,6524.17,6479.63,6536.12,6462.24
2016/9/20,6488.4,6488.05,6493.6,6461.19
2016/9/19,6494.79,6439.58,6528.22,6439.58
2016/9/16,6439.63,6439.63,6439.63,6439.63
2016/9/15,6413.03,6403.93,6449.33,6384.59
2016/9/14,6390.77,6389.83,6425.85,6378.29
2016/9/13,6403.67,6408.98,6493.98,6394.18
2016/9/12,6387.48,6580.11,6580.11,6387.41
2016/9/9,6620.35,6602.81,6683.86,6602.81
2016/9/8,6600.18,6569.71,6603.07,6553.21
2016/9/7,6583.67,6596.06,6607.97,6571.37
2016/9/6,6542.42,6476.89,6542.46,6468.12
